EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate,JoiningAge
54,22,7,7,8,KGID100054,Prakash Urs,1982-02-12,1,7,0,2006-10-02,24
55,22,7,13,11,KGID100055,Ratna Kamath,2004-10-04,2,7,0,2025-05-31,20
56,22,7,9,2,KGID100056,Chandrashekar Math,1986-10-24,1,2,0,2013-08-21,26
57,22,7,4,11,KGID100057,Shankar Naik,1972-05-10,1,7,0,1998-12-29,26
58,22,7,13,11,KGID100058,Prakash Yadav,1999-05-19,1,3,0,2026-01-03,26
59,22,7,9,2,KGID100059,Ganesh Kulkarni,1984-01-18,1,3,0,2006-08-15,22
60,22,7,4,11,KGID100060,Deepika Naidu,1973-04-10,3,1,0,1998-05-09,25
61,22,7,6,6,KGID100061,Venkatesh Chavan,1976-08-24,1,7,0,1997-06-03,20
62,22,7,6,6,KGID100062,Lokesh Naik,1983-05-09,1,7,0,2005-06-27,22
63,22,7,9,2,KGID100063,Parashuram Naidu,1987-04-20,1,1,0,2008-02-12,20
64,22,7,13,2,KGID100064,Halappa Hiremath,2003-10-10,1,1,0,2024-03-30,20
65,22,7,4,2,KGID100065,Savitha Mudakavi,1971-06-10,2,1,0,1994-12-06,23
66,11,8,8,4,KGID100066,Lokesh Iyer,1982-11-26,1,3,0,2006-07-01,23
67,11,8,5,5,KGID100067,Vishwanath Biradar,1974-03-31,1,3,0,2000-11-16,26
68,11,8,9,2,KGID100068,Kumar Iyer,1995-01-28,1,7,0,2021-06-02,26
69,11,8,8,4,KGID100069,Harish Math,1983-04-25,1,5,0,2003-08-21,20
70,11,8,10,10,KGID100070,Basavaraj Aithal,1993-12-11,1,2,0,2019-12-13,26
71,11,8,8,8,KGID100071,Puneeth Deshpande,1985-11-30,1,3,0,2010-08-22,24
72,11,8,8,4,KGID100072,Umesh Poojary,1990-04-22,1,1,0,2012-06-16,22
73,11,8,8,7,KGID100073,Santosh Setty,1982-09-29,1,3,0,2004-11-13,22
74,11,8,12,11,KGID100074,Devendra Math,2004-06-28,1,1,1,2026-06-15,21
75,11,8,8,8,KGID100075,Muralidhar Reddy,1984-02-07,1,7,0,2005-02-27,21
76,11,8,5,5,KGID100076,Dinesh Kulkarni,1981-05-15,1,8,0,2003-02-22,21
77,11,8,9,2,KGID100077,Rajesh Sindhe,1985-09-17,1,7,0,2007-06-06,21
78,11,8,13,11,KGID100078,Priya Urs,2000-10-08,3,3,0,2024-11-01,24
79,11,8,7,8,KGID100079,Parashuram Halli,1987-05-11,1,3,0,2007-12-01,20
80,11,8,8,8,KGID100080,Devendra Devadiga,1984-06-24,1,3,0,2009-10-15,25
81,11,8,13,11,KGID100081,Dinesh Aithal,2001-05-15,1,3,0,2021-06-09,20
82,11,8,8,8,KGID100082,Basavaraj Shetty,1986-11-16,1,7,0,2011-07-20,24
83,4,9,9,2,KGID100083,Lokesh Naik,1994-08-17,1,8,0,2021-05-31,26
84,4,9,9,2,KGID100084,Channabasappa Sindhe,1986-05-02,1,7,0,2010-01-16,23
85,4,9,10,10,KGID100085,Harish Deshpande,1994-06-12,1,3,0,2017-12-01,23
86,4,9,8,4,KGID100086,Vinay Shetty,1979-11-21,1,3,0,2002-10-20,22
87,4,9,10,10,KGID100087,Ramesh Chavan,1989-01-04,1,3,0,2015-09-18,26
88,4,9,10,10,KGID100088,Venkatesh Iyer,1993-09-11,1,5,0,2016-10-01,23
89,4,9,13,11,KGID100089,Manjula Kamath,1998-05-26,2,5,0,2019-04-08,20
90,4,9,7,6,KGID100090,Mahesh Math,1986-12-06,1,7,0,2007-10-28,20
91,4,9,9,2,KGID100091,Prasanna Bhat,1990-11-30,1,3,0,2012-07-15,21
92,4,9,13,2,KGID100092,Siddaraju Iyer,2003-06-21,1,7,0,2025-01-13,21
93,4,9,9,2,KGID100093,Roopa Halli,1988-08-26,2,3,0,2011-11-05,23
94,4,9,13,2,KGID100094,Chandrashekar Angadi,2000-04-21,1,1,0,2025-08-15,25
95,4,9,10,10,KGID100095,Manjunath Nayak,1990-08-30,1,3,0,2012-05-04,21
96,4,9,7,6,KGID100096,Lakshmi Bhat,1981-06-10,2,3,0,2006-01-23,24
97,19,10,7,6,KGID100097,Vinay Kulkarni,1984-02-08,1,7,0,2009-01-21,24
98,19,10,13,11,KGID100098,Shankar Hegde,1999-09-10,1,3,0,2025-05-10,25
99,19,10,9,2,KGID100099,Anjali Sindhe,1987-06-14,3,1,0,2010-07-28,23
100,19,10,6,5,KGID100100,Puneeth Bhat,1984-03-02,1,3,0,2006-09-04,22
101,19,10,8,4,KGID100101,Shankar Naidu,1989-09-20,1,3,0,2016-03-27,26
102,19,10,8,4,KGID100102,Ramesh Chavan,1986-12-07,1,7,0,2009-11-07,22
103,19,10,8,4,KGID100103,Puneeth Yadav,1985-10-03,1,3,0,2008-08-20,22
104,19,10,10,10,KGID100104,Ratna Aithal,2000-03-27,2,8,0,2024-01-08,23
105,19,10,10,10,KGID100105,Raju Math,1991-08-12,1,7,0,2017-08-30,26
106,19,10,8,4,KGID100106,Shankar Yadav,1986-04-09,1,7,0,2011-07-09,25
107,19,10,8,4,KGID100107,Ashok Shetty,1980-09-04,1,5,0,2001-02-04,20
108,8,11,9,2,KGID100108,Umesh Hiremath,1992-04-30,1,4,0,2013-07-01,21
109,8,11,8,4,KGID100109,Ravindra Chavan,1984-03-01,1,8,0,2009-08-15,25
110,8,11,8,4,KGID100110,Kalavathi Kulkarni,1979-08-21,2,7,1,2003-05-27,23
111,8,11,13,2,KGID100111,Lokesh Biradar,1999-08-17,1,7,0,2025-07-20,25
112,8,11,7,6,KGID100112,Anand Setty,1981-07-19,1,7,0,2006-04-26,24
113,8,11,13,11,KGID100113,Kavya Shetty,2000-08-28,2,3,0,2023-10-21,23
114,8,11,7,6,KGID100114,Sunil Angadi,1980-05-23,1,5,0,2004-01-05,23
115,8,11,10,10,KGID100115,Yogesh Shetty,1987-11-22,1,7,0,2012-06-11,24
116,8,11,13,2,KGID100116,Deepa Kalburgi,2000-06-06,2,3,0,2025-12-05,25
117,8,11,13,2,KGID100117,Raghavendra Nayak,2001-09-01,1,7,0,2021-09-21,20
118,24,12,8,4,KGID100118,Raju Gowda,1988-02-12,1,3,0,2014-04-21,26
119,24,12,8,4,KGID100119,Girish Gowda,1989-06-03,1,3,0,2014-06-10,25
120,24,12,10,10,KGID100120,Mallikarjuna Reddy,1997-07-01,1,7,0,2019-01-27,21
121,24,12,10,10,KGID100121,Shankar Shetty,1999-12-08,1,7,0,2024-03-24,24
122,24,12,13,2,KGID100122,Byrappa Patil,2005-06-24,1,3,0,2026-01-10,20
123,24,12,7,6,KGID100123,Nagaveni Iyer,1982-09-23,2,7,0,2003-10-21,21
124,24,12,10,10,KGID100124,Siddaraju Mudakavi,1991-10-31,1,1,0,2014-06-14,22
125,24,12,13,2,KGID100125,Kumar Chavan,2001-12-18,1,3,0,2025-04-07,23
126,24,12,10,10,KGID100126,Byrappa Halli,1991-03-21,1,1,0,2013-06-01,22
127,24,12,7,6,KGID100127,Lokesh Deshpande,1983-05-26,1,7,0,2007-06-19,24
128,24,12,10,10,KGID100128,Gowramma Joshi,1990-07-03,2,1,0,2013-04-30,22
129,24,12,8,4,KGID100129,Sunil Reddy,1988-06-04,1,7,0,2011-03-10,22
130,24,12,10,10,KGID100130,Sunita Iyer,1988-09-14,2,1,0,2013-08-19,24
131,24,12,9,2,KGID100131,Sujatha Hegde,1993-07-25,2,1,0,2014-10-01,21
132,26,13,7,6,KGID100132,Kumar Achar,1985-01-19,1,3,0,2008-09-02,23
133,26,13,7,6,KGID100133,Deepa Kulkarni,1986-05-11,2,3,0,2013-03-16,26
134,26,13,13,11,KGID100134,Naveen Mudakavi,1999-03-10,1,1,0,2020-11-21,21
135,26,13,13,11,KGID100135,Ramesh Urs,2001-07-03,1,3,0,2023-01-16,21
136,26,13,8,4,KGID100136,Narasimha Mudakavi,1987-02-13,1,1,0,2007-02-11,19
137,26,13,8,4,KGID100137,Manjunath Mudakavi,1981-01-31,1,1,0,2001-08-17,20
138,26,13,10,10,KGID100138,Harish Aithal,1992-01-03,1,1,0,2017-11-19,25
139,26,13,10,10,KGID100139,Sunil Kulkarni,1991-12-06,1,3,0,2018-11-17,26
140,26,13,10,10,KGID100140,Kumar Setty,1993-06-18,1,3,0,2016-11-17,23
141,26,13,13,2,KGID100141,Channabasappa Bhat,1996-11-08,1,3,0,2018-04-30,21
142,10,14,8,4,KGID100142,Narasimha Chavan,1981-06-23,1,7,0,2003-05-05,21
143,10,14,13,2,KGID100143,Devendra Pujari,1995-09-02,1,1,0,2021-07-11,25
144,10,14,13,11,KGID100144,Dinesh Chavan,2000-09-27,1,3,0,2021-03-21,20
145,10,14,9,2,KGID100145,Siddaraju Biradar,1985-06-14,1,3,0,2010-04-08,24
146,10,14,6,5,KGID100146,Siddaraju Bhat,1981-02-17,1,7,0,2005-10-12,24
147,10,14,10,10,KGID100147,Kavya Naidu,1999-11-11,2,7,0,2025-01-31,25
148,10,14,13,2,KGID100148,Harish Deshpande,2003-01-21,1,7,0,2024-06-08,21
149,10,14,10,10,KGID100149,Santosh Yadav,1999-10-15,1,7,0,2025-04-23,25
150,10,14,8,4,KGID100150,Dinesh Kalburgi,1981-08-26,1,1,0,2003-02-16,21
151,10,14,7,6,KGID100151,Girish Nayaka,1981-09-05,1,1,0,2008-02-14,26
152,10,14,13,2,KGID100152,Narasimha Devadiga,2000-02-19,1,2,0,2021-06-02,21
153,12,15,9,2,KGID100153,Meenakshi Shetty,1996-11-10,2,7,0,2023-08-07,26
154,12,15,8,4,KGID100154,Shankar Achar,1989-05-07,1,7,0,2011-04-21,21
155,12,15,10,10,KGID100155,Ashok Setty,1997-12-12,1,4,0,2022-04-30,24
156,12,15,13,2,KGID100156,Jyothi Swamy,2002-01-19,2,4,0,2025-09-06,23
157,12,15,8,4,KGID100157,Muralidhar Hiremath,1989-03-23,1,5,0,2010-02-09,20
158,12,15,13,2,KGID100158,Mangala Bhat,2001-06-14,2,7,0,2022-10-26,21
159,12,15,8,4,KGID100159,Vinay Swamy,1986-07-17,1,3,0,2009-08-07,23
160,12,15,7,6,KGID100160,Kumar Bhat,1988-02-17,1,1,0,2009-01-09,20
161,12,15,13,11,KGID100161,Basavaraj Naik,2002-07-30,1,3,0,2024-03-10,21
162,12,15,13,2,KGID100162,Sowmya Kamath,1995-10-31,2,1,0,2018-12-20,23
163,7,16,13,11,KGID100163,Mahadevappa Bhat,1997-09-25,1,3,1,2021-09-27,24
164,7,16,10,10,KGID100164,Basavaraj Nayaka,1995-04-24,1,8,0,2021-03-25,25
165,7,16,13,2,KGID100165,Manjunath Biradar,1996-10-17,1,8,0,2017-04-29,20
166,7,16,6,5,KGID100166,Devendra Patil,1983-02-05,1,7,0,2005-01-01,21
167,7,16,10,10,KGID100167,Krishna Murthy Chavan,1995-10-22,1,8,0,2018-09-10,22
168,7,16,8,4,KGID100168,Srinivas Shetty,1989-12-07,1,7,0,2010-05-01,20
169,7,16,10,10,KGID100169,Prema Yadav,1993-01-06,2,1,0,2019-10-05,26
170,7,16,9,2,KGID100170,Kumar Iyer,1986-07-06,1,1,0,2013-05-30,26
171,7,16,10,10,KGID100171,Parashuram Math,1995-02-05,1,3,0,2016-10-11,21
172,7,16,9,2,KGID100172,Raju Poojary,1986-12-25,1,5,0,2007-07-28,20
173,7,16,7,6,KGID100173,Mahadevappa Mudakavi,1984-02-25,1,1,0,2007-12-24,23
174,7,16,13,11,KGID100174,Nagaraj Kalburgi,1999-09-16,1,3,0,2023-01-28,23
175,7,16,8,4,KGID100175,Kavya Nayak,1988-09-21,2,1,0,2014-04-27,25
176,7,16,10,10,KGID100176,Byrappa Sindhe,1992-07-12,1,7,0,2016-09-22,24
177,7,16,7,6,KGID100177,Channabasappa Iyer,1980-01-26,1,3,0,2003-06-29,23
178,15,17,8,4,KGID100178,Ganesh Sindhe,1984-10-16,1,2,0,2005-02-22,20
179,15,17,13,2,KGID100179,Basavaraj Pujari,2003-06-19,1,7,0,2024-09-09,21
180,15,17,13,11,KGID100180,Ravindra Devadiga,2001-05-07,1,7,0,2022-11-03,21
181,15,17,13,11,KGID100181,Shankar Kulkarni,1996-10-07,1,1,0,2019-05-29,22
182,15,17,13,2,KGID100182,Channabasappa Hegde,1998-10-06,1,3,0,2018-12-04,20
183,15,17,10,10,KGID100183,Krishna Murthy Nayak,1987-10-21,1,3,0,2013-08-10,25
184,15,17,6,5,KGID100184,Manjula Pujari,1976-05-15,2,7,0,1998-08-02,22
185,15,17,13,2,KGID100185,Nagaveni Kamath,2004-03-19,2,7,0,2025-02-02,20
186,15,17,8,4,KGID100186,Shankar Deshpande,1982-05-14,1,7,0,2004-04-10,21
187,15,17,6,5,KGID100187,Harish Naik,1979-09-02,1,3,0,2001-06-15,21
188,15,17,9,2,KGID100188,Vinay Kamath,1993-11-23,1,3,0,2015-11-03,21
189,15,17,8,4,KGID100189,Raju Bhat,1983-12-06,1,3,0,2005-05-23,21
190,15,17,10,10,KGID100190,Radha Pujari,1999-01-19,2,3,0,2023-10-27,24
191,15,17,13,2,KGID100191,Raghavendra Achar,2004-06-30,1,7,0,2026-01-07,21
192,15,17,10,10,KGID100192,Narasimha Kamath,1998-11-14,1,3,0,2023-07-05,24
193,18,18,13,11,KGID100193,Santosh Math,2002-04-07,1,5,0,2024-04-25,22
194,18,18,13,2,KGID100194,Sunil Kalburgi,2005-05-31,1,3,0,2025-08-02,20
195,18,18,13,2,KGID100195,Prasanna Iyer,1997-03-02,1,7,0,2017-09-10,20
196,18,18,7,6,KGID100196,Prasanna Hiremath,1987-01-10,1,7,0,2009-06-26,22
197,18,18,13,2,KGID100197,Muralidhar Nayaka,2005-07-02,1,3,0,2025-09-05,20
198,18,18,13,2,KGID100198,Lokesh Deshpande,1996-02-15,1,3,0,2017-08-29,21
199,18,18,13,2,KGID100199,Byrappa Reddy,2000-11-25,1,8,0,2021-05-27,20
200,18,18,6,5,KGID100200,Vishwanath Setty,1979-08-31,1,7,0,2006-06-16,26
201,18,18,8,4,KGID100201,Mahesh Naidu,1979-09-18,1,1,0,2006-03-24,26
202,18,18,7,6,KGID100202,Harish Urs,1981-02-21,1,3,0,2004-05-03,23
203,18,18,13,11,KGID100203,Yashoda Halli,2004-07-29,2,4,0,2025-04-15,20
204,18,18,8,4,KGID100204,Byrappa Yadav,1983-02-06,1,7,0,2007-07-31,24
205,18,18,8,4,KGID100205,Mahadevappa Urs,1987-04-06,1,7,0,2009-08-25,22
206,21,19,10,10,KGID100206,Vishwanath Biradar,1989-03-11,1,7,0,2011-05-07,22
207,21,19,10,10,KGID100207,Rathnamma Kulkarni,1989-05-16,2,3,0,2011-06-01,22
208,21,19,9,2,KGID100208,Yogesh Iyer,1995-04-16,1,1,0,2022-01-09,26
209,21,19,8,4,KGID100209,Chandrashekar Rao,1980-11-02,1,1,0,2002-09-19,21
210,21,19,13,2,KGID100210,Channabasappa Halli,2003-07-24,1,3,0,2025-10-06,22
211,21,19,9,2,KGID100211,Channabasappa Setty,1988-06-29,1,4,0,2014-08-07,26
212,21,19,6,5,KGID100212,Kavya Kalburgi,1981-12-30,2,7,0,2008-03-23,26
213,21,19,9,2,KGID100213,Radha Deshpande,1998-02-25,2,3,0,2022-12-24,24
214,21,19,13,11,KGID100214,Ravindra Deshpande,2002-11-10,1,1,0,2024-03-23,21
215,21,19,9,2,KGID100215,Vishwanath Devadiga,1998-02-05,1,1,0,2024-06-29,26
216,21,19,10,10,KGID100216,Halappa Patil,1993-02-11,1,1,0,2013-08-30,20
217,21,19,10,10,KGID100217,Roopa Iyer,2001-03-15,2,7,0,2024-07-07,23
218,21,19,6,5,KGID100218,Halappa Reddy,1978-08-12,1,3,0,1999-09-07,21
219,27,20,13,2,KGID100219,Kalavathi Setty,2000-08-07,2,2,0,2021-06-25,20
220,27,20,8,4,KGID100220,Prasanna Halli,1982-01-21,1,7,0,2006-01-09,23
221,27,20,8,4,KGID100221,Mallikarjuna Sindhe,1980-09-29,1,4,0,2006-11-03,26
222,27,20,7,6,KGID100222,Umesh Bhat,1979-11-16,1,1,0,2001-08-30,21
223,27,20,13,2,KGID100223,Prakash Chavan,2001-10-01,1,1,0,2024-11-10,23
224,27,20,6,5,KGID100224,Ramesh Urs,1980-07-20,1,5,0,2003-11-22,23
225,27,20,10,10,KGID100225,Manjunath Aithal,1993-06-28,1,3,0,2014-02-19,20
226,27,20,10,10,KGID100226,Rajesh Kulkarni,1994-12-11,1,7,0,2021-06-15,26
227,27,20,13,2,KGID100227,Mallikarjuna Nayak,2000-05-27,1,7,0,2022-02-21,21
228,27,20,6,5,KGID100228,Puneeth Biradar,1979-12-07,1,7,0,2005-09-04,25
229,27,20,10,10,KGID100229,Harish Naik,1998-05-31,1,3,0,2019-04-29,20
230,27,20,6,5,KGID100230,Vinay Sindhe,1984-03-27,1,3,0,2009-04-12,25
231,27,20,6,5,KGID100231,Anand Pujari,1980-04-03,1,3,0,2007-01-16,26
232,27,20,13,11,KGID100232,Devendra Mudakavi,2001-03-08,1,5,0,2021-12-13,20
233,27,20,10,10,KGID100233,Yashoda Angadi,1991-01-15,2,3,0,2017-10-03,26
234,9,21,13,11,KGID100234,Prasanna Angadi,2002-02-23,1,8,0,2023-10-13,21
235,9,21,8,4,KGID100235,Basavaraj Sindhe,1987-04-17,1,7,0,2010-03-08,22
236,9,21,8,4,KGID100236,Manjunath Hegde,1984-08-20,1,1,0,2009-06-18,24
237,9,21,13,11,KGID100237,Srinivas Reddy,2002-02-06,1,7,0,2024-02-08,22
238,9,21,8,4,KGID100238,Prasanna Pujari,1980-04-18,1,7,0,2003-08-13,23
239,9,21,13,2,KGID100239,Gopal Patil,2001-03-15,1,7,0,2023-11-27,22
240,9,21,10,10,KGID100240,Vidya Bhat,1996-02-18,2,1,0,2019-03-07,23
241,9,21,10,10,KGID100241,Vishwanath Naidu,1998-02-09,1,3,0,2019-08-17,21
242,9,21,10,10,KGID100242,Narasimha Chavan,1987-11-22,1,1,0,2013-10-09,25
243,9,21,8,4,KGID100243,Channabasappa Rao,1982-11-23,1,4,0,2004-08-21,21
244,9,21,7,6,KGID100244,Padma Nayak,1978-07-08,2,7,0,2004-07-04,25
245,25,22,8,4,KGID100245,Shankar Halli,1982-12-10,1,7,1,2005-01-03,22
246,25,22,13,2,KGID100246,Suresh Swamy,2005-07-17,1,7,0,2026-04-12,20
247,25,22,8,4,KGID100247,Srinivas Nayaka,1989-11-03,1,3,0,2011-03-01,21
248,25,22,10,10,KGID100248,Parashuram Setty,1994-12-05,1,3,0,2019-04-02,24
249,25,22,7,6,KGID100249,Rajesh Biradar,1978-07-16,1,5,0,1999-02-03,20
250,25,22,6,5,KGID100250,Channabasappa Deshpande,1982-11-18,1,5,0,2009-06-21,26
251,25,22,7,6,KGID100251,Prema Iyer,1988-04-03,2,1,0,2010-03-18,21
252,25,22,9,2,KGID100252,Yashoda Naik,1988-08-27,2,8,0,2008-11-21,20
253,25,22,10,10,KGID100253,Jyothi Deshpande,1997-05-05,2,3,0,2021-08-30,24
254,25,22,7,6,KGID100254,Chandrashekar Hegde,1983-07-04,1,3,0,2004-02-07,20
255,25,22,10,10,KGID100255,Roopa Math,1996-07-12,2,2,0,2021-11-22,25
256,25,22,10,10,KGID100256,Basavaraj Aithal,1990-10-03,1,7,0,2016-04-08,25
257,25,22,7,6,KGID100257,Mahesh Biradar,1981-08-01,1,3,0,2008-06-14,26
258,25,22,6,5,KGID100258,Radha Nayak,1977-01-29,2,1,0,2003-06-10,26
259,25,22,13,2,KGID100259,Prasanna Kulkarni,1999-06-05,1,5,0,2019-07-15,20
260,1,23,6,5,KGID100260,Raghavendra Nayaka,1978-06-19,1,1,0,2004-03-25,25
261,1,23,8,4,KGID100261,Vijaya Kumar Mudakavi,1986-11-20,1,3,0,2007-12-17,21
262,1,23,7,6,KGID100262,Shankar Devadiga,1984-09-13,1,3,0,2008-07-08,23
263,1,23,6,5,KGID100263,Roopa Deshpande,1978-09-18,2,3,0,2002-02-27,23
264,1,23,8,4,KGID100264,Anand Poojary,1981-08-10,1,8,0,2003-04-07,21
265,1,23,9,2,KGID100265,Anand Biradar,1987-11-21,1,3,0,2012-03-18,24
266,1,23,10,10,KGID100266,Krishna Murthy Naik,1992-04-17,1,7,0,2017-01-15,24
267,1,23,8,4,KGID100267,Byrappa Math,1986-08-10,1,1,0,2007-03-02,20
268,1,23,9,2,KGID100268,Nagaraj Sindhe,1986-12-26,1,8,0,2013-06-30,26
269,1,23,10,10,KGID100269,Manjunath Hiremath,1987-08-10,1,7,0,2011-05-09,23
270,1,23,7,6,KGID100270,Vijaya Kumar Shetty,1984-08-28,1,5,0,2010-02-19,25
271,1,23,10,10,KGID100271,Radha Yadav,1995-12-20,2,2,0,2015-12-20,20
272,1,23,13,2,KGID100272,Gopal Swamy,1996-04-05,1,1,0,2019-10-08,23
273,29,24,7,6,KGID100273,Naveen Kamath,1987-06-01,1,3,0,2013-08-05,26
274,29,24,13,2,KGID100274,Anand Hegde,1998-06-08,1,3,0,2022-05-24,23
275,29,24,7,6,KGID100275,Vijaya Kumar Naidu,1982-09-03,1,4,0,2003-08-10,20
276,29,24,10,10,KGID100276,Devendra Poojary,1994-04-01,1,1,0,2020-10-18,26
277,29,24,10,10,KGID100277,Puneeth Biradar,1992-04-18,1,1,0,2016-02-10,23
278,29,24,9,2,KGID100278,Umesh Poojary,1986-06-28,1,3,0,2010-08-13,24
279,29,24,7,6,KGID100279,Raju Biradar,1980-11-03,1,7,0,2006-04-06,25
280,29,24,10,10,KGID100280,Mahadevappa Kamath,1993-09-15,1,7,0,2015-08-20,21
281,29,24,8,4,KGID100281,Sunil Bhat,1988-02-24,1,4,0,2008-05-22,20
282,29,24,8,4,KGID100282,Umesh Poojary,1985-04-26,1,5,0,2009-03-11,23
283,29,24,8,4,KGID100283,Ramesh Math,1983-09-17,1,1,0,2004-03-13,20
284,29,24,13,2,KGID100284,Mahadevappa Sindhe,1997-12-30,1,3,0,2023-09-01,25
285,29,24,6,5,KGID100285,Chandrashekar Aithal,1981-03-04,1,1,0,2001-07-17,20
286,13,25,13,2,KGID100286,Umesh Shetty,2003-10-06,1,7,0,2024-02-15,20
287,13,25,8,4,KGID100287,Gowramma Shetty,1989-08-29,2,3,0,2015-12-27,26
288,13,25,7,6,KGID100288,Parashuram Joshi,1987-03-31,1,7,0,2009-01-20,21
